model_year,kms_driven,owner,location,mileage,power,price,new_col,CC,brand_name
2010,38000.0,2,dehradun,38.0,21.0,30000,False,220,Bajaj Pulsar 
2017,9563.0,2,navi mumbai,45.0,14.3,39000,False,150,Bajaj Avenger Street 
2019,23000.0,1,lucknow,31.154142857142855,26.1,70000,False,250,Suzuki Gixxer 
2011,67000.0,1,delhi,5.0,8.2,26000,False,100,Hero Passion Pro 
2011,56194.0,1,delhi,5.0,8.2,20000,False,100,Hero Passion Pro 
2014,6605.11895752201,1,pune,65.0,14.85,40000,True,150,Bajaj Pulsar 
2014,27000.0,2,hyderabad,45.0,13.0,48500,False,150,Yamaha FZs 
2013,37788.0,1,siliguri,50.0,11.9,43000,False,150,Yamaha SZ RR V 2.0 
2017,6605.11895752201,1,bengaluru,45.0,17.2,80000,True,180,TVS Apache RTR 
2018,6605.11895752201,1,delhi,35.0,24.5,110000,True,200,Bajaj Pulsar RS
2015,6605.11895752201,1,pune,35.0,24.16,76300,True,200,Bajaj Pulsar RS
2019,5700.0,1,gurgaon,40.97,18.7,117500,False,150,Yamaha YZF-R15 V3 
2019,19000.0,1,rajkot,40.15,18.7,125000,False,150,Yamaha YZF-R15 V3 
2014,23000.0,1,bangalore,35.0,19.8,114500,False,350,Royal Enfield Classic 
2018,6605.11895752201,1,agra,35.0,24.5,100000,True,200,Bajaj Pulsar RS
2017,6605.11895752201,1,bhiwandi,35.0,24.5,115000,True,200,Bajaj Pulsar RS
2016,28000.0,1,pune,35.0,25.1,90000,False,200,KTM RC 
2020,5000.0,1,patna,64.85,10.72,81000,False,125,Honda SP
2019,25000.0,1,udaipur,22.0,33.0,95000,False,310,TVS Apache RR
2019,9000.0,1,bangalore,38.0,21.0,114125,False,220,Bajaj Pulsar 
2016,39500.0,1,bihar shariff,35.0,19.8,95000,False,350,Royal Enfield Classic 
2017,6605.11895752201,1,hyderabad,58.0,13.0,72000,True,150,Yamaha FZS FI 
2015,1600.0,1,jalandhar,26.0,29.1,165000,False,535,Royal Enfield Continental GT 
2008,42821.0,1,mumbai,42.0,16.0,42000,False,150,Yamaha YZF-R15 
2020,6605.11895752201,1,bangalore,37.0,19.8,150000,True,350,Royal Enfield Bullet 
2018,6605.11895752201,1,chittorgarh,65.0,15.0,58000,True,150,Bajaj Pulsar 
2019,6605.11895752201,1,chittorgarh,10.0,8.2,57000,True,100,Bajaj Platina  Alloy ES-
2019,40000.0,1,chittorgarh,71.75,8.6,45000,False,110,Bajaj Discover 
2012,15990.0,1,delhi,40.0,19.8,70000,False,350,Royal Enfield Bullet Electra 
2018,18000.0,1,vadodara,38.0,21.0,75000,False,220,Bajaj Pulsar 
2007,6605.11895752201,1,mumbai,65.0,10.0,9000,True,125,Honda CB Shine 
2017,29500.0,1,hyderabad,42.0,16.7,87500,False,150,Yamaha YZF-R15 2.0 
